loc_code,utcdiff,loc_type,active,location_name,latitude,longitude,town,postcode,country_code,chgover_driving_min,chgover_non_driving_min,dep_debrief_time,arr_debrief_time,remarks,turnaround_min,icon,ctrl_depot,update_on,cluster
ADX,0,Station,1,CANNOCK,52.6783394255883,-1.94082976031003,CANNOCK,WS7 3FX,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",ADX,20230421,6
FKH,0,Station,1,WARRINGTON,53.4080592670519,-2.53408159090608,FDX WARRINGTON,WA1 4RW,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",FKH,,2
LHR,0,Station,1,LONDON HEATHROW AIR HUB,51.4532411506524,-0.442609171389405,TNT LONDON HEATHROW AIR HUB,TW14 8NT,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",LHR,,3
UHF,0,Station,1,FELTHAM,50.9298909548325,-0.198279913071997,Feltham,TW14 0SL,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",UHF,,1
ZFC,0,Hub,1,STOKE ROAD HUB,53.0467252002818,-2.23720230523391,FDX STOKE ROAD HUB,ST5 7RB,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/red-pin 25px.png', 'width': 25, 'height': 13}",ZFC,,2
BZ4,0,Station,1,BASILDON,51.5885179881567,0.51925651993978,TNT BASILDON,SS13 1EB,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",BZ4,,1
SIGM,0,Customer,1,SIGMA,51.0307021746394,-2.27525618644378,SIGMA,SP8 4XT,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/blue-pin 25px.png', 'width': 35, 'height': 24}",BOH,,5
SOU,0,Station,1,SOUTHAMPTON,50.9408242899987,-1.47759406943807,TNT SOUTHAMPTON,SO16 0WB,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",SOU,,3
SWI,0,Station,1,SWINDON,51.5910057479042,-1.74735701427123,FDX SWINDON,SN3 4AJ,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",SWI,,3
SL4,0,Station,1,SLOUGH,51.5221530094477,-0.63199204155436,TNT SLOUGH,SL1 4NJ,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",SL4,,3
MC4,0,Station,1,BREDBURY MANCHESTER,53.4307631691134,-2.12493581911053,TNT MANCHESTER - BREDBURY,SK6 2RF,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",MC4,,2
